SN,Make,Status,Model,ReceiverSelfID,FirmVersion,SlaveVersion,POSSESION,Temp,Pres,Tilt,Diameter_mm,Length_mm,Buoyancy_kg,Weight_kg,Depth_rating_m,Battery Type,Battery installed,Battery_life_d,Date New,Owner,Purchased By,Grant Purchased,Cost,Rec Inventory Notes,InventoryID
17083,ATS,LAB,2017 SR Trident 3000,17083,,,,,,,,,,,,,,,,,,,,,
18027,ATS,LAB,2018 SR Trident 3000,18027,,,,,,,,,,,,,,,,,,,,,
18028,ATS,IN FIELD,2018 SR Trident 3000,18028,,,,,,,,,,,,,,,,,,,,,
18031,ATS,LAB,2018 SR Trident 3000,18031,,,,,,,,,,,,,,,,,,,,,
20156008,Teknologic ,LAB,2015,156008,,,,,,,,,,,,,,,,,,,,,
20156014,Teknologic ,LAB,2015,156014,,,,,,,,,,,,,,,,,,,,,
20156037,Teknologic ,FIELD,2015 RT,156037,,,,,,,,,,,,,,,,,,,,,
20176069,Teknologic ,FIELD,2017 RT,176069,,,,,,,,,,,,,,,,,,,,,
20176070,Teknologic ,FIELD,2017 RT,176070,,,,,,,,,,,,,,,,,,,,,
20176071,Teknologic ,FIELD,2017 RT,176071,,,,,,,,,,,,,,,,,,,,,
20176072,Teknologic ,FIELD,2017 RT,176072,,,,,,,,,,,,,,,,,,,,,
20156017,Teknologic ,LAB,2015,20156017,,,,,,,,,,,,,,,,,,,,,
20156046,Teknologic ,FIELD,2015 RT,20156046,,,,,,,,,,,,,,,,,,,,,
20187022,Teknologic ,LAB,2018 RT,20187022,,,,,,,,,,,,,,,,,,,,,
20156001,Teknologic ,LAB,2015,2015-6001,,,,,,,,,,,,,,,,,,,,,
20156002,Teknologic ,LAB,2015,2015-6002,,,,,,,,,,,,,,,,,,,,,
20156003,Teknologic ,LAB,2015,2015-6003,,,,,,,,,,,,,,,,,,,,,
20156004,Teknologic ,LAB,2015,2015-6004,,,,,,,,,,,,,,,,,,,,,
20156005,Teknologic ,LAB,2015,2015-6005,,,,,,,,,,,,,,,,,,,,,
20156006,Teknologic ,LAB,2015,2015-6006,,,,,,,,,,,,,,,,,,,,,
20156007,Teknologic ,LAB,2015,2015-6007,,,,,,,,,,,,,,,,,,,,,
20156009,Teknologic ,LAB,2015,2015-6009,,,,,,,,,,,,,,,,,,,,,
20156010,Teknologic ,LAB,2015,2015-6010,,,,,,,,,,,,,,,,,,,,,
20156011,Teknologic ,LAB,2015,2015-6011,,,,,,,,,,,,,,,,,,,,,
20156013,Teknologic ,LAB,2015,2015-6013,,,,,,,,,,,,,,,,,,,,,
20156016,Teknologic ,LAB,2015,2015-6016,,,,,,,,,,,,,,,,,,,,,
