GeneralLoc,GPS Names,Lat,Lon,Region,rkm,GenLat,GenLon,Genrkm,BankSide,Dist to next upstream location,Channel Width (m),Nearest Boat Ramp,Location Notes,Attachment,Cable(m),Depth(m),RecDepth(m),CableStatus
Release1,2018_Scarf1_Release,37.30895,-120.92954,,270.93,37.30895,-120.92954,270.93,RR,,,Freemont Ford,,,,,,
Clifton Court,CC_intake_J,37.82917,-121.5944,,142.721,37.829166,-121.594402,142.721,,,,Clifton Court,"same location as 2018, but this site was called CC_RT_J in 2018. Same location, just changed names becase there are other RTs at CC now",,,,,
Clifton Court,CC_RGD_1_J,37.83034,-121.55663,,142.721,37.830861,-121.557307,142.72,Forebay,,,Clifton Court,"same location as 2018, attached to eyebolt on DWR cable",,,,,
Clifton Court,CC_RGD_2_J,37.82972,-121.5574,,142.722,37.83007,-121.55804,142.72,Forebay,,,Clifton Court,"same location as 2018, on T post. In water corrds in J2 HH as ""2019 RGD2 Wtr""",,,,,
Clifton Court,CC_RGD_3_J,37.83051,-121.55864,,142.723,37.83051,-121.55864,142.72,Forebay,,,Clifton Court,"basically same location as 2018, in J2 HH as "" 2019 RGD3""",,,,,
Clifton Court,CC_RGD_4_J,37.831,-121.55804,,142.724,37.831,-121.55804,142.72,Forebay,,,Clifton Court,"basically same location as 2018, in J2 HH as "" 2019 RGD4""",,,,,
Clifton Court,CC_RGU1_J,37.8296,-121.557,,142.725,37.829602,-121.556999,142.72,RL,,,Clifton Court,same location as 2018  but using RT,,,,,
Clifton Court,CC_RGU2_J,37.83008,-121.55659,,142.726,37.83008,-121.55659,142.72,RR,,,Clifton Court,same location as 2018  but using RT,,,,,
CVP,CVP_Tank1_J,37.81583,-121.55932,,144.531,37.815833,-121.559316,144.53,,,,NA,Tank,,,,,
CVP,CVP_Tank2_J,37.81586,-121.55927,,144.532,37.815856,-121.559265,144.53,,,,NA,Tank,,,,,
CVP,CVP_Tank3_J,37.81589,-121.55915,,144.533,37.815886,-121.55915,144.53,,,,NA,Tank,,,,,
CVP,CVP_Tank4_J,37.81591,-121.55908,,144.534,37.815907,-121.559083,144.53,,,,NA,Tank,,,,,
CVP,CVPD_J,37.81665,-121.55893,,144.536,37.816645,-121.558933,144.53,RR,,,NA,"same locations as 2018, but switched names to be more relective of where they actually are. (2018 this site was labeled CVPD but it is actually US)",,,,,
CVP,CVPU_J,37.81687,-121.55845,,144.535,37.816866,-121.558448,144.53,RR,,,NA,"same locations as 2018, but switched names to be more relective of where they actually are. (2018 this site was labeled CVPU but it is actually DS)",,,,,
TCE1,Delt_TC_1_J,37.99019,-121.46054,,127.22,37.99019,-121.46054,127.22,RL,,,Buckley Cove,"same location, used same cable and weights as 2018",,,,,
TCE2,Delt_TC_2_J,37.9893,-121.46048,,127.21,37.9893,-121.46048,127.22,RR,,,Buckley Cove,"moved site slightly, cabled to larger tree on left. Same 2018 coords in J2 HH and ""TC 2 2019 in Rogue gps""",,,,,
Release2,Durham Ferry Release point,37.68777,-121.26221,,183.59,37.687771,-121.262209,183.59,RR,,,"Durham Ferry (high water), Mossdale",same as 2018 site,,,,,
HOR_AM1,HOR_AM1,37.80739979,-121.3262555,,159.422,37.80739979,-121.3262555,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_AM2,HOR_AM2,37.807267,-121.3256273,,159.422,37.807267,-121.3256273,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_AM3,HOR_AM3,37.8078628,-121.326413,,159.422,37.8078628,-121.326413,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_AM4,HOR_AM4,37.80839712,-121.3268685,,159.422,37.80839712,-121.3268685,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_AM5,HOR_AM5,37.80794528,-121.3269197,,159.422,37.80794528,-121.3269197,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_AM6,HOR_AM6,37.80798203,-121.3276431,,159.422,37.80798203,-121.3276431,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_AM7,HOR_AM7,37.80873416,-121.3270482,,159.422,37.80873416,-121.3270482,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_AM8,HOR_AM8,37.80810316,-121.3279596,,159.422,37.80810316,-121.3279596,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_AM9,HOR_AM9,37.8088126,-121.3275244,,159.422,37.8088126,-121.3275244,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_SM1,HOR_SM1,37.80685651,-121.3261282,,159.422,37.80685651,-121.3261282,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_SM2,HOR_SM2,37.80735354,-121.3267507,,159.422,37.80735354,-121.3267507,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_SM3,HOR_SM3,37.80770431,-121.3274783,,159.422,37.80770431,-121.3274783,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_SM4,HOR_SM4,37.80785161,-121.3278242,,159.422,37.80785161,-121.3278242,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_SM7,HOR_SM7,37.8091035,-121.3272079,,159.422,37.8091035,-121.3272079,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
HOR_SM8,HOR_SM8,37.80826093,-121.3275467,,159.422,37.80826093,-121.3275467,159.422,,,,might need to change these rkms and IDs after deciding whether Mikes HOR array will be a gate or not,,,,,,
MidR_hwy4_US,MidR_hwy4_1_J,37.89666,-121.49249,,139.211,37.89666,-121.49249,139.21,RR,,,Discovery Bay,"same location as 2018, left cable and weights. just to right of tules. In NR gps as MRHwy4 1"", same 2018 coords in J2 HH",,,4,4,
MidR_hwy4_US,MidR_hwy4_2_J,37.89669,121.49395,,139.212,37.89669,-121.49395,139.21,RL,,,Discovery Bay,"same location as 2018, left cable and weights. In NR gps as MRHwy4 2"", same 2018 coords in J2 HH",,,4,4,
MidR_hwy4_DS,MidR_hwy4_3_J,37.89728,-121.49503,,139.01,37.89728,-121.49503,139.01,RL,,,Discovery Bay,"same location as 2018, left cable and weights, just to left of tules. In NR gps as MRHwy4 3"", same 2018 coords in J2 HH",,,4,4,
MidR_hwy4_DS,MidR_hwy4_4_J,37.89834,-121.49442,,139.02,37.89834,-121.49442,139.01,,,,Discovery Bay,"same location as 2018, left cable and weights. In NR gps as MRHwy4 4"", same 2018 coords in J2 HH",,,6,6,
MROR,MidR_OR_1_J,37.82446,-121.37762,,152.163,37.82446,-121.37762,152.163,RR,,,Mossdale/ Discovery Bay,"moved rec site location slightly, in JS HH and NR gps as ""MidROR1 2019""",,,4.3,4.3,
OR_HOR_DS,OR_HOR_1_J,37.81378,-121.33566,,158.122,37.81378,121.33566,158.123,RL,,,Tracy Oasis_Mossdale,"same location as 2018, used same cable as weights. In NR gps as "" ORHOR1 2019"", same 2018 coords in J2 HH",,,3.5,3.5,
OR_HOR_US,OR_HOR_2_J,37.81339,-121.33512,,158.122,37.81339,-121.33512,158.123,RR,,,Tracy Oasis_Mossdale,"forgot to mark point in GPs, but I think it is the same as last year: in J2 HH as ORHOR2",,,3,3,
OR_HOR_US,OR_HOR_3_J,37.81407,-121.33559,,158.123,37.81407,-121.33559,158.123,RL,,,Tracy Oasis_Mossdale,"same location as 2018, used same cable and weights. In NR gps as ""ORHOR3 2019"", same 2018 coords in J2 HH",,,3,3,
OR_HOR_US,OR_HOR_4_J,37.89728,-121.33453,,158.123,37.81466,-121.33453,158.123,RR,,,Tracy Oasis_Mossdale,"same location as 2018, used same cable and weights. In NR gps as ""ORHOR4 2019"", same 2018 coords in J2 HH",,,3,3,
OR_hwy4_US,OR_hwy4_1_J,37.89366,-121.56672,,134.391,37.89366,-121.5667,134.39,RR,,,Discovery Bay,"same location as 2018, used same cable and weights. Just left of tule patch. In NR gps as ""ORHwy4 1"", same coords in J2 HH as 2018",,,7,7,
