Rel_group,TagID_Hex,Time_in_ana,Time_out_anac,DrugTime,Weight,Length,CF,Scales,Fins,Eyes,Time_out_surgery,SurgTime,Time_recovered,Surgeon,Data_Rec,HT_Temp,HT_DO,SB_Temp,SB_DO,Bleeding,Notes,Num_sutures,Tag_placement,Tag_Weight,DateTagged
2019UP,C569,00-Jan-00,00-Jan-00,129,5.6,83,0.98,,,,00-Jan-00,123,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BDB6,00-Jan-00,00-Jan-00,141,5.2,79,1.05,,,,00-Jan-00,114,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BB34,00-Jan-00,00-Jan-00,83,6.1,83,1.07,,,,00-Jan-00,109,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BCD2,00-Jan-00,00-Jan-00,135,6.3,82,1.14,,,,00-Jan-00,98,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BA8D,00-Jan-00,00-Jan-00,152,4.9,78,1.03,,,,00-Jan-00,98,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BDAB,00-Jan-00,00-Jan-00,140,5.6,84,0.94,,,,00-Jan-00,95,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,C14A,00-Jan-00,00-Jan-00,113,5.6,81,1.05,,,,00-Jan-00,115,00-Jan-00,GS,AA,8.2,10.32,8.4,10.41,1,,1,TP,0.217,21-Feb-19
2019UP,BA98,00-Jan-00,00-Jan-00,125,4.5,76,1.03,,,,00-Jan-00,99,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BA6B,00-Jan-00,00-Jan-00,190,6.1,83,1.07,,,,00-Jan-00,87,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BB12,00-Jan-00,00-Jan-00,140,4.5,77,0.99,,,,00-Jan-00,117,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C514,00-Jan-00,00-Jan-00,400,5.1,81,0.96,,,,00-Jan-00,82,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,C550,00-Jan-00,00-Jan-00,113,4.4,78,0.93,,,,00-Jan-00,95,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C53A,00-Jan-00,00-Jan-00,145,4.3,79,0.87,,,,00-Jan-00,85,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C8A2,00-Jan-00,00-Jan-00,157,5.2,80,1.02,,,,00-Jan-00,87,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP_TE,BC92,00-Jan-00,00-Jan-00,172,4.8,79,0.97,,,,00-Jan-00,83,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BC9A,00-Jan-00,00-Jan-00,111,5.9,83,1.03,,,,00-Jan-00,95,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,C8BA,00-Jan-00,00-Jan-00,132,4.3,76,0.98,,,,00-Jan-00,80,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C22A,00-Jan-00,00-Jan-00,92,4.5,76,1.03,,,,00-Jan-00,63,00-Jan-00,GS,AA,8.3,10.33,8.4,10.44,,,1,TP,0.217,21-Feb-19
2019UP,BB68,00-Jan-00,00-Jan-00,176,5.1,81,0.96,,,,00-Jan-00,96,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BB59,00-Jan-00,00-Jan-00,144,4.4,77,0.96,,,,00-Jan-00,81,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BF54,00-Jan-00,00-Jan-00,105,4.5,76,1.03,,,,00-Jan-00,77,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BB51,00-Jan-00,00-Jan-00,116,5.3,79,1.07,,,,00-Jan-00,68,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BD32,00-Jan-00,00-Jan-00,147,5.5,82,1.00,,,,00-Jan-00,69,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BA74,00-Jan-00,00-Jan-00,117,5.1,79,1.03,,,,00-Jan-00,90,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BC94,00-Jan-00,00-Jan-00,151,5.9,85,0.96,,,,00-Jan-00,80,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,C551,00-Jan-00,00-Jan-00,156,5.2,81,0.98,,,,00-Jan-00,68,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BD29,00-Jan-00,00-Jan-00,157,4.3,76,0.98,,,,00-Jan-00,83,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C8AC,00-Jan-00,00-Jan-00,140,5.9,86,0.93,,,,00-Jan-00,85,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BBB2,00-Jan-00,00-Jan-00,122,6.2,85,1.01,,,,00-Jan-00,84,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BB4D,00-Jan-00,00-Jan-00,127,5.2,80,1.02,,,,00-Jan-00,105,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP_TE,BA6D,00-Jan-00,00-Jan-00,167,5.6,83,0.98,,,,00-Jan-00,110,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BD94,00-Jan-00,00-Jan-00,154,4.7,79,0.95,,,,00-Jan-00,82,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BCA9,00-Jan-00,00-Jan-00,135,6.3,85,1.03,,,,00-Jan-00,88,00-Jan-00,GS,AA,,,,,,suture fair,1,TP,0.217,21-Feb-19
2019UP,BB46,00-Jan-00,00-Jan-00,130,5.7,83,1.00,,,,00-Jan-00,64,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BED6,00-Jan-00,00-Jan-00,143,5.2,81,0.98,,,,00-Jan-00,92,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BDAE,00-Jan-00,00-Jan-00,175,5.6,83,0.98,,,,00-Jan-00,61,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C5AB,00-Jan-00,00-Jan-00,127,5.3,81,1.00,,,,00-Jan-00,73,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BD66,00-Jan-00,00-Jan-00,111,4.5,79,0.91,,,,00-Jan-00,80,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BB76,00-Jan-00,00-Jan-00,128,5.2,80,1.02,,,,00-Jan-00,83,00-Jan-00,GS,AA,,,,,,split caudal fin,1,TP,0.217,21-Feb-19
2019UP,BAE8,00-Jan-00,00-Jan-00,140,4.4,77,0.96,,,,00-Jan-00,76,00-Jan-00,GS,AA,,,,,1,8 looks like a 6,1,TP,0.217,21-Feb-19
2019UP,BC96,00-Jan-00,00-Jan-00,130,5,79,1.01,,,,00-Jan-00,82,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BA5B,00-Jan-00,00-Jan-00,156,4.9,78,1.03,,,,00-Jan-00,75,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BB48,00-Jan-00,00-Jan-00,143,5.4,82,0.98,,,,00-Jan-00,76,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,C6DA,00-Jan-00,00-Jan-00,144,4.5,77,0.99,,,,00-Jan-00,91,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP_TE,C4CA,00-Jan-00,00-Jan-00,283,5.2,81,0.98,,,,00-Jan-00,62,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C592,00-Jan-00,00-Jan-00,130,4.6,80,0.90,,,,00-Jan-00,81,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BACE,00-Jan-00,00-Jan-00,148,5,80,0.98,,,,00-Jan-00,89,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BD42,00-Jan-00,00-Jan-00,207,5.7,83,1.00,,,,00-Jan-00,84,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BD44,00-Jan-00,00-Jan-00,176,4.6,78,0.97,,,,00-Jan-00,79,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BBB5,00-Jan-00,00-Jan-00,193,5,80,0.98,,,,00-Jan-00,74,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C6AD,00-Jan-00,00-Jan-00,154,4.3,75,1.02,,,,00-Jan-00,79,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,C8B4,00-Jan-00,00-Jan-00,140,5,79,1.01,,,,00-Jan-00,68,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BCD5,00-Jan-00,00-Jan-00,215,5.7,84,0.96,,,,00-Jan-00,66,00-Jan-00,GS,AA,8.5,10.12,10.6,10.2,1,,1,TP,0.217,21-Feb-19
2019UP,BB25,00-Jan-00,00-Jan-00,101,4.9,78,1.03,,,,00-Jan-00,103,00-Jan-00,GS,AA,,,,,1,sutures fair,1,TP,0.217,21-Feb-19
2019UP,C65A,00-Jan-00,00-Jan-00,173,5.1,79,1.03,,,,00-Jan-00,69,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BAB7,00-Jan-00,00-Jan-00,125,4.6,77,1.01,,,,00-Jan-00,88,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BAB9,00-Jan-00,00-Jan-00,163,4.8,77,1.05,,,,00-Jan-00,116,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BAE9,00-Jan-00,00-Jan-00,111,4.7,77,1.03,,,,00-Jan-00,72,00-Jan-00,GS,AA,8.2,10.2,8.7,10.35,,,1,TP,0.217,21-Feb-19
2019UP,BD58,00-Jan-00,00-Jan-00,205,4.5,77,0.99,,,,00-Jan-00,71,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BAE6,00-Jan-00,00-Jan-00,227,5,79,1.01,,,,00-Jan-00,65,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BC4A,00-Jan-00,00-Jan-00,119,4.3,77,0.94,,,,00-Jan-00,85,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP_TE,C6AC,00-Jan-00,00-Jan-00,220,5.4,81,1.02,,,,00-Jan-00,87,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C548,00-Jan-00,00-Jan-00,225,4.7,80,0.92,,,,00-Jan-00,69,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C152,00-Jan-00,00-Jan-00,120,4.3,75,1.02,,,,00-Jan-00,127,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BCA4,00-Jan-00,00-Jan-00,175,5.2,81,0.98,,,,00-Jan-00,81,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BBD4,00-Jan-00,00-Jan-00,145,5.2,80,1.02,,,,00-Jan-00,70,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C8A5,00-Jan-00,00-Jan-00,182,5,80,0.98,,,,00-Jan-00,67,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,C754,00-Jan-00,00-Jan-00,134,4.3,76,0.98,,,,00-Jan-00,80,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,C496,00-Jan-00,00-Jan-00,195,4.5,78,0.95,,,,00-Jan-00,96,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BE6A,00-Jan-00,00-Jan-00,158,5.1,82,0.92,,,,00-Jan-00,78,00-Jan-00,GS,AA,,,,,1,,1,TP,0.217,21-Feb-19
2019UP,BAC9,00-Jan-00,00-Jan-00,182,6.2,86,0.97,,,,00-Jan-00,70,00-Jan-00,GS,AA,,,,,1,split caudal,1,TP,0.217,21-Feb-19
2019UP,BD4E,00-Jan-00,00-Jan-00,190,4.5,76,1.03,,,,00-Jan-00,89,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,21-Feb-19
2019UP,BE5A,00-Jan-00,00-Jan-00,89,5.1,80,1.00,,,,00-Jan-00,77,00-Jan-00,GS,AA,7.8,11.39,6.9,11.64,,,1,TP,0.217,21-Feb-19
2019UP,C72A,00-Jan-00,00-Jan-00,103,4.6,77,1.01,,,,00-Jan-00,81,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,22-Feb-19
2019UP,C566,00-Jan-00,00-Jan-00,151,6,86,0.94,,,,00-Jan-00,79,00-Jan-00,GS,AA,,,,,1,short left operculum,1,TP,0.217,22-Feb-19
2019UP,BAED,00-Jan-00,00-Jan-00,141,4.8,78,1.01,,,,00-Jan-00,111,00-Jan-00,GS,AA,,,,,,had trouble activating,1,TP,0.217,22-Feb-19
2019UP,BD50,00-Jan-00,00-Jan-00,168,5.2,80,1.02,,,,00-Jan-00,66,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,22-Feb-19
2019UP,BA86,00-Jan-00,00-Jan-00,129,5.3,81,1.00,,,,00-Jan-00,73,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,22-Feb-19
2019UP,BD2C,00-Jan-00,00-Jan-00,136,4.3,76,0.98,,,,00-Jan-00,85,00-Jan-00,GS,AA,,,,,,,1,TP,0.217,22-Feb-19
