RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,Surgeon,ID
Downstream_Release,3/12/2019 20:41,BEEA,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,BA5C,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.3,75,,
Downstream_Release,3/12/2019 20:41,C7AA,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.9,80,,
Downstream_Release,3/12/2019 20:41,BD26,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.8,80,,
Downstream_Release,3/12/2019 20:41,C55B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,79,,
Downstream_Release,3/12/2019 20:41,C50A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,79,,
Downstream_Release,3/12/2019 20:41,BD4D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,79,,
Downstream_Release,3/12/2019 20:41,BAD9,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.7,84,,
Downstream_Release,3/12/2019 20:41,BD22,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,80,,
Downstream_Release,3/12/2019 20:41,BD5E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,77,,
Downstream_Release,3/12/2019 20:41,C5A9,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.5,82,,
Downstream_Release,3/12/2019 20:41,BF2A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,80,,
Downstream_Release,3/12/2019 20:41,C52E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.7,83,,
Downstream_Release,3/12/2019 20:41,BBEA,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,80,,
Downstream_Release,3/12/2019 20:41,BEA4,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,81,,
Downstream_Release,3/12/2019 20:41,BAEC,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.9,80,,
Downstream_Release,3/12/2019 20:41,C2DA,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.9,79,,
Downstream_Release,3/12/2019 20:41,BD6D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.4,78,,
