Estimate,s.e.
sA1,0.7809656804,0
sA2,0.663088107959,0
sA3,0.707820689769,0
sA4,0.588978733072,0
sA5,0.47748114418,0
sA6,0.637606317904,0
sA8,0.677108792679,0
sA9,0.638964270137,0
sA10,0.630342252687,0
sA11,0.617791801324,0
sA12,0.613049938723,0
sA13,0.854313379483,0
sA14,0.761514615943,0
sA15,0.483659749735,0
sA16,0.341888656422,0
sA17,0.879112749948,0
phiB1B2,0.256940611326,0
phiB1C1,0.556618726462,0
phiB1D1,0.0767799515784,0
phiB1E1,0.187386584618,0
psiA1,0.540772408141,0
psiA2,0.789639150917,0
sC1,0.066986542183,0
sE1,0.811925869735,0
sE2,0.0295009131789,0
sF1,0.327788962977,0
pA1,0.781942836215,0
pA2,0.291224297478,0
pA3,0.758605428275,0
pA4,0.709829147104,0
pA5,0.598607005271,0
pA6,0.629332094929,0
pA8,0.586048904264,0
pA9,0.579506840101,0
pA10,0.499039652974,0
pA12,0.60382476675,0
pA17b,0.986544023663,0
pA18a,1.99999964909,0
pA18b,1.99999964909,0
pA19a,0.733727157096,0
pA19b,0.943205236363,0
pB1a,0.458351824988,0
pB1b,0.676177212221,0
pB2,0.886996120265,0
pC1a,0.63614841516,0
pC1b,0.63614841516,0
pD1a,0.875026630236,0
pE1a,0.637786855649,0
pE1b,0.92839483954,0
pE2,1.17383586715,0
pA16a,0.933481195115,0
pA16b,0.933481195115,0
sA19,0.828776258068,0
pF1,-0.430471164709,0
pA15b,0.869241967876,0
pD1b,-0.550879137669,0
