Estimate,s.e.
sA1,0.988472622487,0.00573037128783
sA2,0.774715080946,0.0469176611528
sA3,0.911734519237,0.0524372989532
sA4,0.859816657472,0.0244108442942
sA5,0.763285024145,0.029544142108
sA6,0.893680432052,0.0245264354922
sA7,1.02783034756,0.0145675269
sA8,0.908443083363,0.0200729551056
sA10,0.992100884247,0.00786452255895
sA12,0.970893966189,0.0147982208421
sA13,0.986448369682,0.0134533471101
sA14,0.969230769237,0.0123667219325
sA15,0.594044830297,0.0600803927671
sA16,0.476258188583,0.0537447546123
sA17,0.846010503869,0.0812761327253
sB1,0.0559655146495,0.0172599067236
psiA1,0.609326422257,0.0437779074129
pA2,0.139240506126,0.0224877904117
pA3,0.846153846215,0.025017071587
pA4,0.993710691823,0.00626949547077
pA6,0.985255034141,0.0103467105386
pA7,0.226292556333,0.0346057345069
pA8,0.740373794093,0.0377529306069
pA9,0.694466832087,0.0228634974859
pA10,0.499999999974,0.0431934481199
pA12,0.938609067217,0.0171601048031
pA16,0.855733836663,0.0596098566571
pA17b,0.826086956744,0.079034326526
pB1a,0.369372396832,0.0374265667872
pB1b,0.917834440155,0.031962818081
pA15,0.952435649509,0.0461043610957
sA10_d,0.935464514838,0.0198883967516
sA11_d,0.963843013832,0.0146700578259
psiA1_d,0.503421875845,0.0318941743738
pA10_d,0.596226415179,0.0301405647535
pA11_d,0.992011735048,0.00562549003163
pA17a_d,0.954545454693,0.0444094598952
sA17_d,0.65883866644,0.102931542192
sA15_d,0.469026548737,0.0469456195611
sA13_d,0.901747422837,0.0268829942596
sA9_d,0.896052040875,0.0209925519547
pA8_d,0.862411128129,0.0203656303398
pA7_d,0.521873695514,0.0275706088801
