,Estimate,s.e
psiB,0.389455337,0.043729368
qA1,0,0
qA2,0.860759494,0.022487625
qA3,0.153846154,0.025017064
qA4,0.006289308,0.006269495
qA5,0,0
qA6,0.014705883,0.010321884
qA7,0.762962961,0.036600898
qA8,0.259731974,0.037764259
qA9,0.30556617,0.022865081
qA10,0.500000001,0.043193356
qA11,0,0
qA12,0.061552988,0.017213155
qA13,0,0
qA14,0,0
qA15,0.037578072,0.036388122
qA16,0.142857143,0.059148343
qA17a,0,0
qA17b,0.173913054,0.079034325
qA17,0,0
pA17,1,0
qB1a,0.630765196,0.037431095
qB1b,0.082507455,0.032085647
qB1,0.052042831,0.021083612
pB1,0.947957169,0.021083612
xA17,1,0
xA16,0.25,0.068465163
xA15,0.539307082,0.050677786
xA14,0.493654097,0.03651038
xA13,0.030769231,0.012366722
xA12,0.066340982,0.017778779
xB1,0.944055334,0.017254226
xA11,0.049846813,0.011430257
xA10,0,0
xA9,0.008040844,0.008006683
xA8,0.00245701,0.00245465
xA7,0.030303021,0.029840344
xA6,0.042857141,0.017117326
xA5,0.106918239,0.024506025
xA4,0.236714976,0.029544129
xA3,0.141463415,0.024340219
xA2,0.108108109,0.0510485
xA1,0.297376093,0.024681254
x0,0.011527378,0.005730372
gamma_A11A17,0.001101201,0.000575776
pA11,1,0
pA1,1,0
pA5,1,0
pA13,1,0
sA11,1,0
sA9,1,0
pA14,1,0
pA17a,1,0
psiB_d,0.497327459,0.03190383
qA7_d,0.481366461,0.027844555
qA8_d,0.135888502,0.020227173
qA9_d,0.30556617,0.022865081
qA10_d,0.403773585,0.030140546
qA11_d,0.007979282,0.005619215
qA12_d,0.061552988,0.017213155
qA13_d,0,0
qA14_d,0,0
qA15_d,0,0
qA16_d,0.142857143,0.059148343
qA17a_d,0.045454545,0.044409487
qA17b_d,0,0
qA17_d,0,0
pA17_d,1,0
qB1a_d,0.630765196,0.037431095
qB1b_d,0.082507455,0.032085647
qB1_d,0.052042831,0.021083612
pB1_d,0.947957169,0.021083612
xA17_d,1,0
xA16_d,0.25,0.068465163
xA15_d,0.539307082,0.050677786
xA14_d,0.483180164,0.036773645
xA13_d,0.030769231,0.012366722
xA12_d,0.066340982,0.017778779
xB1_d,0.944055334,0.017254226
xA11_d,0.054566057,0.011264926
xA10_d,0.036585366,0.014660148
xA9_d,0.078357789,0.018731332
xA8_d,0.123674912,0.019569519
xA7_d,0.121052631,0.023664195
x0_d,0.025423729,0.008366155
gamma_A11A17_d,0.001406214,0.000719123
pA17b_d,1,0
pA15_d,1,0
pA13_d,1,0
pA14_d,1,0
sA17_d,0.75,0.068465163
sA16_d,0.477755619,0.053409502
sA15_d,0.516819836,0.036773645
sA14_d,0.969230769,0.012366722
sA13_d,0.933659018,0.017778779
sA12_d,0.971156984,0.014881136
sB1_d,0.055944666,0.017254226
pA16_d,0.857142857,0.059148343
pA12_d,0.938447012,0.017213155
pB1a_d,0.369234804,0.037431095
pB1b_d,0.917492545,0.032085647
pA9_d,0.69443383,0.022865081
S_FFReltoChipps,0.046542183,0.007393683
S_DeltaReltoChipps,0.113661682,0.016504512
S_DeltaReltoChipps_d,0.081503096,0.011880811
S_HORJuncToChipps_OR_wtd,0.021159519,0.006913359
S_HORJuncToChipps_SJ_wtd,0.099363895,0.016875883
S_HORJuncToChipps_OR,0.021159519,0.006913359
S_HORJuncToChipps_OR_d,0.027020325,0.008476984
S_HORJuncToChipps_SJ,0.099363895,0.016875883
S_HORJuncToChipps_SJ_d,0.081808104,0.013620826
S_DeltaReltoChipps_OR,0.019954849,0.006532867
S_DeltaReltoChipps_SJ,0.093706833,0.016033161
S_DeltaReltoChipps_OR_d,0.02023589,0.006378996
S_DeltaReltoChipps_SJ_d,0.061267206,0.010373425
S_FFreltoChipps,4.31279477,0.039161636
sA7_wtd,1.026728012,0.014683107
sA8_wtd,0.913904806,0.019593084
sA9_wtd,0.9300527,0.014271531
sA10_wtd,0.951847934,0.014311918
sA11_wtd,0.976041353,0.00971828
