,Estimate,s.e.
sA1,0.988472622,0.005730372
sA2,0.774715081,0.046917515
sA3,0.911734519,0.052437099
sA4,0.859816658,0.024410833
sA5,0.763285024,0.029544129
sA6,0.893644982,0.024525795
sA7,0.979795819,0.028938508
sA8,0.9703162,0.029865975
sA10,0.991959156,0.008006683
sA12,0.971156984,0.014881136
sA13,0.933659018,0.017778779
sA14,0.969230769,0.012366722
sA15,0.516819836,0.036773645
sA16,0.477755619,0.053409502
sA17,0.75,0.068465163
sB1,0.055944666,0.017254226
psiA1,0.610544663,0.043729368
pA2,0.139240506,0.022487625
pA3,0.846153846,0.025017064
pA4,0.993710692,0.006269495
pA6,0.985294117,0.010321884
pA7,0.237037039,0.036600898
pA8,0.740268026,0.037764259
pA9,0.69443383,0.022865081
pA10,0.499999999,0.043193356
pA12,0.938447012,0.017213155
pA16,0.857142857,0.059148343
pA17b,0.826086946,0.079034325
pB1a,0.369234804,0.037431095
pB1b,0.917492545,0.032085647
pA15,0.962421928,0.036388122
sA7_d,1.034879393,0.016484095
psiA1_d,0.502672541,0.03190383
pA7_d,0.518633539,0.027844555
pA8_d,0.864111498,0.020227173
pA10_d,0.596226415,0.030140546
pA11_d,0.992020718,0.005619215
pA17a_d,0.954545455,0.044409487
sA8_d,0.893971452,0.024325875
sA9_d,0.897822082,0.020847628
sA10_d,0.935461032,0.019889152
sA11_d,0.963834286,0.014669799
