Estimate,s.e
psiB,0.389455336754,0.0437293678254
qA1,0,0
qA2,0.860759493862,0.0224876249235
qA3,0.15384615448,0.0250170643519
qA4,0.00628930796473,0.00626949515968
qA5,0,0
qA6,0.014705882506,0.0103218843526
qA7,0.762962961264,0.0366008981755
qA8,0.259731973634,0.0377642591132
qA9,0.305566170326,0.0228650812765
qA10,0.500000000575,0.0431933564579
qA11,0,0
qA12,0.0615529876409,0.0172131550434
qA13,0,0
qA14,0,0
qA15,0.0375780719705,0.0363881222143
qA16,0.142857143056,0.0591483427191
qA17a,0,0
qA17b,0.173913054153,0.079034325482
qA17,0,0
pA17,1,0
qB1a,0.630765195744,0.0374310946085
qB1b,0.0825074554015,0.0320856466149
qB1,0.0520428312567,0.0210836118742
pB1,0.947957168743,0.0210836118742
xA17,1,0
xA16,0.249999999774,0.068465162992
xA15,0.539307082049,0.0506777864532
xA14,0.493654096977,0.0365103795744
xA13,0.0307692308116,0.0123667216458
xA12,0.0663409822433,0.0177787786058
xB1,0.944055333825,0.0172542260161
xA11,0.0498468125373,0.0114302568941
xA10,0,0
xA9,0.00804084423776,0.00800668264636
xA8,0.00245700997992,0.00245464997209
xA7,0.0303030211575,0.0298403442489
xA6,0.0428571414822,0.017117325695
xA5,0.106918239374,0.0245060253656
xA4,0.236714975699,0.0295441294909
xA3,0.141463414619,0.0243402187507
xA2,0.108108108902,0.0510484998974
xA1,0.297376093463,0.0246812544366
x0,0.0115273779127,0.00573037150445
gamma_A11A17,0.00110120125897,0.0005757756652
pA11,1,0
pA1,1,0
pA5,1,0
pA13,1,0
sA11,1,0
sA9,1,0
pA14,1,0
pA17a,1,0
psiB_d,0.497327458658,0.0319038298429
qA7_d,0.481366460595,0.0278445551568
qA8_d,0.135888501961,0.0202271725794
qA9_d,0.305566170326,0.0228650812765
qA10_d,0.403773585263,0.0301405463702
qA11_d,0.00797928224014,0.00561921498231
qA12_d,0.0615529876409,0.0172131550434
qA13_d,0,0
qA14_d,0,0
qA15_d,0,0
qA16_d,0.142857143056,0.0591483427191
qA17a_d,0.0454545451345,0.0444094872234
qA17b_d,0,0
qA17_d,0,0
pA17_d,1,0
qB1a_d,0.630765195744,0.0374310946085
qB1b_d,0.0825074554015,0.0320856466149
qB1_d,0.0520428312567,0.0210836118742
pB1_d,0.947957168743,0.0210836118742
xA17_d,1,0
xA16_d,0.249999999774,0.068465162992
xA15_d,0.539307082049,0.0506777864532
xA14_d,0.483180163985,0.0367736453817
xA13_d,0.0307692308116,0.0123667216458
xA12_d,0.0663409822433,0.0177787786058
xB1_d,0.944055333825,0.0172542260161
xA11_d,0.0545660573142,0.0112649261422
xA10_d,0.0365853659716,0.0146601478516
xA9_d,0.0783577892498,0.0187313319594
xA8_d,0.123674912002,0.019569519429
xA7_d,0.121052631309,0.0236641952579
x0_d,0.0254237293134,0.0083661547785
gamma_A11A17_d,0.00140621419689,0.000719123200544
pA17b_d,1,0
pA15_d,1,0
pA13_d,1,0
pA14_d,1,0
sA17_d,0.750000000226,0.068465162992
sA16_d,0.477755618624,0.053409502279
sA15_d,0.516819836015,0.0367736453817
sA14_d,0.969230769188,0.0123667216458
sA13_d,0.933659017757,0.0177787786058
sA12_d,0.971156984402,0.0148811363359
sB1_d,0.0559446661753,0.0172542260161
pA16_d,0.857142856944,0.0591483427191
pA12_d,0.938447012359,0.0172131550434
pB1a_d,0.369234804256,0.0374310946085
pB1b_d,0.917492544599,0.0320856466149
pA9_d,0.694433829674,0.0228650812765
S_FFReltoChipps,0.0465421829089,0.00739368286769
S_DeltaReltoChipps,0.113661681877,0.016504511588
S_DeltaReltoChipps_d,0.0815030956619,0.0118808105836
S_HORJuncToChipps_OR_wtd,0.0211595186577,0.00691335901209
S_HORJuncToChipps_SJ_wtd,0.0993638949542,0.0168758834741
S_HORJuncToChipps_OR,0.0211595186577,0.00691335901209
S_HORJuncToChipps_OR_d,0.027020324662,0.00847698372018
S_HORJuncToChipps_SJ,0.0993638949542,0.0168758834741
S_HORJuncToChipps_SJ_d,0.0818081044698,0.0136208260666
S_DeltaReltoChipps_OR,0.0199548486577,0.00653286717644
S_DeltaReltoChipps_SJ,0.0937068332192,0.0160331613173
S_DeltaReltoChipps_OR_d,0.0202358898618,0.00637899552757
S_DeltaReltoChipps_SJ_d,0.0612672058001,0.0103734249644
