Estimate,s.e.
sA1,0.988472622087,0.00573037150445
sA2,0.774715081254,0.0469175154256
sA3,0.911734518599,0.0524370987495
sA4,0.859816657534,0.0244108325481
sA5,0.763285024301,0.0295441294909
sA6,0.893644982241,0.0245257945546
sA7,0.979795818937,0.0289385083406
sA8,0.97031619976,0.029865974596
sA10,0.991959155762,0.00800668264636
sA12,0.971156984402,0.0148811363359
sA13,0.933659017757,0.0177787786058
sA14,0.969230769188,0.0123667216458
sA15,0.516819836015,0.0367736453817
sA16,0.477755618624,0.053409502279
sA17,0.750000000226,0.068465162992
sB1,0.0559446661753,0.0172542260161
psiA1,0.610544663246,0.0437293678254
pA2,0.139240506138,0.0224876249235
pA3,0.84615384552,0.0250170643519
pA4,0.993710692035,0.00626949515968
pA6,0.985294117494,0.0103218843526
pA7,0.237037038736,0.0366008981755
pA8,0.740268026366,0.0377642591132
pA9,0.694433829674,0.0228650812765
pA10,0.499999999425,0.0431933564579
pA12,0.938447012359,0.0172131550434
pA16,0.857142856944,0.0591483427191
pA17b,0.826086945847,0.079034325482
pB1a,0.369234804256,0.0374310946085
pB1b,0.917492544599,0.0320856466149
pA15,0.96242192803,0.0363881222143
sA7_d,1.03487939321,0.0164840946319
psiA1_d,0.502672541342,0.0319038298429
pA7_d,0.518633539405,0.0278445551568
pA8_d,0.864111498039,0.0202271725794
pA10_d,0.596226414737,0.0301405463702
pA11_d,0.99202071776,0.00561921498231
pA17a_d,0.954545454865,0.0444094872234
sA8_d,0.893971451585,0.0243258746154
sA9_d,0.897822081652,0.0208476281536
sA10_d,0.935461032315,0.0198891523263
sA11_d,0.963834285522,0.0146697987265
