Estimate,s.e
psiB,0.390673577743,0.0437779074129
qA1,0,0
qA2,0.860759493874,0.0224877904117
qA3,0.153846153785,0.025017071587
qA4,0.00628930817704,0.00626949547077
qA5,0,0
qA6,0.0147449658585,0.0103467105386
qA7,0.773707443667,0.0346057345069
qA8,0.259626205907,0.0377529306069
qA9,0.305533167913,0.0228634974859
qA10,0.500000000026,0.0431934481199
qA11,0,0
qA12,0.0613909327827,0.0171601048031
qA13,0,0
qA14,0,0
qA15,0.0475643504907,0.0461043610957
qA16,0.144266163337,0.0596098566571
qA17a,0,0
qA17b,0.173913043256,0.079034326526
qA17,0,0
pA17,1,0
qB1a,0.630627603168,0.0374265667872
qB1b,0.0821655598446,0.031962818081
qB1,0.0518158700678,0.0209940842863
pB1,0.948184129932,0.0209940842863
xA17,1,0
xA16,0.153989496131,0.0812761327253
xA15,0.534322112728,0.0520220339808
xA14,0.421052631493,0.0566345358476
xA13,0.0307692307632,0.0123667219325
xA12,0.0135516303176,0.0134533471101
xB1,0.944034485351,0.0172599067236
xA11,0.048152161471,0.011439989707
xA10,0,0
xA9,0.00789911575265,0.00786452255895
xA8,0.00241344185962,0.00241054291951
xA7,0.0921261404901,0.0200635533458
xA6,0.0454320435541,0.00975951581342
xA5,0.106918239046,0.0245060358632
xA4,0.236714975855,0.029544142108
xA3,0.141463414725,0.0243402303949
xA2,0.108108108204,0.0510486953536
xA1,0.297376093277,0.024681263099
x0,0.0115273775128,0.00573037128783
gamma_A11A17,0.0010999403621,0.00057554162845
pA11,1,0
pA1,1,0
pA5,1,0
pA13,1,0
sA11,1,0
sA9,1,0
pA14,1,0
pA17a,1,0
psiB_d,0.496578124155,0.0318941743738
qA7_d,0.478126304486,0.0275706088801
qA8_d,0.137588871871,0.0203656303398
qA9_d,0.305533167913,0.0228634974859
qA10_d,0.403773584821,0.0301405647535
qA11_d,0.00798826495189,0.00562549003163
qA12_d,0.0613909327827,0.0171601048031
qA13_d,0,0
qA14_d,0,0
qA15_d,0,0
qA16_d,0.144266163337,0.0596098566571
qA17a_d,0.0454545453065,0.0444094598952
qA17b_d,0,0
qA17_d,0,0
pA17_d,1,0
qB1a_d,0.630627603168,0.0374265667872
qB1b_d,0.0821655598446,0.031962818081
qB1_d,0.0518158700678,0.0209940842863
pB1_d,0.948184129932,0.0209940842863
xA17_d,1,0
xA16_d,0.34116133356,0.102931542192
xA15_d,0.547182304408,0.0504540534122
xA14_d,0.530973451263,0.0469456195611
xA13_d,0.0307692307632,0.0123667219325
xA12_d,0.0982525771631,0.0268829942596
xB1_d,0.944034485351,0.0172599067236
xA11_d,0.0556377974576,0.0112531917373
xA10_d,0.0365853656817,0.0146601482745
xA9_d,0.0783543580467,0.0187305467259
xA8_d,0.125399315266,0.0197204219266
xA7_d,0.10723078509,0.0195897818537
x0_d,0.024866369442,0.007595845265
gamma_A11A17_d,0.0013981143154,0.000714860529736
pA17b_d,1,0
pA15_d,1,0
pA13_d,1,0
pA14_d,1,0
pA16_d,0.855733836663,0.0596098566571
sA16_d,0.476258188583,0.0537447546123
sA14_d,0.969230769237,0.0123667219325
pA12_d,0.938609067217,0.0171601048031
sA12_d,0.970893966189,0.0147982208421
pB1a_d,0.369372396832,0.0374265667872
pB1b_d,0.917834440155,0.031962818081
sB1_d,0.0559655146495,0.0172599067236
pA9_d,0.694466832087,0.0228634974859
sA7_d,1.02783034756,0.0145675269
sA8_d,0.908443083363,0.0200729551056
S_FFReltoChipps,0.0594078590677,0.0104092010753
S_DeltaReltoChipps,0.145075475722,0.0236360184001
S_DeltaReltoChipps_d,0.0677812438628,0.0121057630044
