Estimate,s.e
psiB,0.396406054379,0.0452517710139
qA1,0,0
qA2,0.860759493385,0.0224879554959
qA3,0.153846153903,0.0250170645555
qA4,0.00628930807585,0.00626949523632
qA5,0,0
qA6,0.0147058824404,0.0103218840193
qA7,0.762962962825,0.0366008987325
qA8,0.259729584667,0.0377640784833
qA9,0.304145809474,0.0396130678462
qA10,0.500000000394,0.0431934480878
qA11,0,0
qA12,0.0769230770865,0.0301717144738
qA13,0,0
qA14,0,0
qA15,0.0454545456099,0.0444094526633
qA16,0.105263157799,0.0704058090085
qA17a,0,0
qA17b,0.173913044384,0.0790341208071
qA17,0,0
pA17,1,0
qB1a,0.614921187016,0.0716293635083
qB1b,0.133572669635,0.0715697176088
qB1,0.082136664565,0.0473252896677
pB1,0.917863335435,0.0473252896677
xA17,1,0
xA16,0.14999999958,0.0798432982884
xA15,0.511627906806,0.0762287252848
xA14,0.421052631908,0.0566343817742
xA13,0.0256410256845,0.017896985555
xA12,0.0136986300014,0.0136044779597
xB1,0.92298423716,0.0373004699189
xA11,0.0522388065197,0.0192217829838
xA10,0,0
xA9,0.0080376431142,0.00800384657655
xA8,0.00244461547123,0.00245858776423
xA7,0.0303030303421,0.0298403663155
xA6,0.0428571427221,0.0171173287619
xA5,0.106918239337,0.0245060306109
xA4,0.236714976145,0.0295441168551
xA3,0.141463415028,0.0243402250891
xA2,0.108108108559,0.0510485061307
xA1,0.297376093271,0.0246812544434
x0,0.0115273774711,0.00573037128807
gamma_A11A17,0.00245184073441,0.00185837752668
pA11,1,0
pA1,1,0
pA5,1,0
pA13,1,0
sA11,1,0
sA9,1,0
pA14,1,0
pA17a,1,0
psiB_d,0.494100529507,0.0320437493001
qA7_d,0.481366458899,0.0278445339844
qA8_d,0.135888501705,0.0202271753941
qA9_d,0.30627306292,0.0280003780208
qA10_d,0.403773585013,0.0301405400976
qA11_d,0.00796812758613,0.00561182245582
qA12_d,0.0512820515096,0.0203919239105
qA13_d,0,0
qA14_d,0,0
qA15_d,0,0
qA16_d,0.18749999957,0.0975787407487
qA17a_d,0.0454545455257,0.0444094735451
qA17b_d,0,0
qA17_d,0,0
pA17_d,1,0
qB1a_d,0.636722297378,0.0439244887501
qB1b_d,0.0602163775317,0.0336743187564
qB1_d,0.0383411102418,0.0220700166195
pB1_d,0.961658889758,0.0220700166195
xA17_d,1,0
xA16_d,0.349999997745,0.106654454389
xA15_d,0.566037736743,0.0680790556051
xA14_d,0.530973452059,0.046945753154
xA13_d,0.0341880342918,0.0167992695407
xA12_d,0.0975609753006,0.0267543485105
xB1_d,0.952615952083,0.0189274298758
xA11_d,0.0532319388409,0.0138429931713
xA10_d,0.0365853658354,0.0146601473005
xA9_d,0.078431373738,0.018823206574
xA8_d,0.123674910284,0.0195695219154
xA7_d,0.12105263169,0.0236641970733
x0_d,0.0254237286625,0.00836615460886
gamma_A11A17_d,0.00086773239164,0.000610040323272
pA17b_d,1,0
pA15_d,1,0
pA13_d,1,0
pA14_d,1,0
S_FFReltoChipps,0.0662824206644,0.0133547841491
S_DeltaReltoChipps,0.161869747888,0.0309015035183
S_DeltaReltoChipps_d,0.0621468925843,0.0128315677825
