RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,Surgeon,ID
Upstream_Release,2/28/2019 16:58,C569,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.6,83,,
Upstream_Release,2/28/2019 16:58,BDB6,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.2,79,,
Upstream_Release,2/28/2019 16:58,BB34,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,6.1,83,,
Upstream_Release,2/28/2019 16:58,BCD2,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,6.3,82,,
Upstream_Release,2/28/2019 16:58,BA8D,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.9,78,,
Upstream_Release,2/28/2019 16:58,BDAB,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.6,84,,
Upstream_Release,2/28/2019 16:58,C14A,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.6,81,,
Upstream_Release,2/28/2019 16:58,BA98,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.5,76,,
Upstream_Release,2/28/2019 16:58,BA6B,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,6.1,83,,
Upstream_Release,2/28/2019 16:58,BB12,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.5,77,,
Upstream_Release,2/28/2019 16:58,C514,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.1,81,,
Upstream_Release,2/28/2019 16:58,C550,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.4,78,,
Upstream_Release,2/28/2019 16:58,C53A,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.3,79,,
Upstream_Release,2/28/2019 16:58,C8A2,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.2,80,,
Upstream_Release,2/28/2019 16:58,BC9A,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.9,83,,
Upstream_Release,2/28/2019 16:58,C8BA,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.3,76,,
Upstream_Release,2/28/2019 16:58,C22A,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.5,76,,
Upstream_Release,2/28/2019 16:58,BB68,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.1,81,,
Upstream_Release,2/28/2019 16:58,BB59,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.4,77,,
Upstream_Release,2/28/2019 16:58,BF54,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.5,76,,
Upstream_Release,2/28/2019 16:58,BB51,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.3,79,,
Upstream_Release,2/28/2019 16:58,BD32,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.5,82,,
Upstream_Release,2/28/2019 16:58,BA74,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.1,79,,
Upstream_Release,2/28/2019 16:58,BC94,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.9,85,,
Upstream_Release,2/28/2019 16:58,C551,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.2,81,,
Upstream_Release,2/28/2019 16:58,BD29,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,4.3,76,,
Upstream_Release,2/28/2019 16:58,C8AC,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.9,86,,
Upstream_Release,2/28/2019 16:58,BBB2,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,6.2,85,,
Upstream_Release,2/28/2019 16:58,BB4D,Upstream_Release,270.93,270.93,2019UP,,37.30895,-120.92954,5.2,80,,
