GPS Names,SN,Filename,Rec Make,Rec Battery Start,Start Study,End Study,End Time (out of water),Temp Logger SN,Beacon ID,Beacon Burst Rate,Rec Battery End,Battery,BatteryID,Bat life days,BatVoltStart,BatVoltEnd,File Size (KB),Rec Deployment Notes,Detection Notes,Even more comments,Mooring Type,Last valid detection,Data Coverage,Coverage Problem,Recovered by,Deployed by,Rec Time clock set at,Real time (PC) stop at,Rec time stop at,difference between real time - rec time
CC_intake_J,20156046,,Teknologic,1/27/2019,1/28/2019 14:54,6/14/2019 9:05,,,F6AD,60,,,,,4.22,,,"initial deployment TT00CA @ 14:45; Mid/end Season DL- got all data TT00C9 @ 9:12, SYNCED CLOCK",,"RT, was named CC_RT in 2018 but this is the same site. data comm =  2016-9014",T post on levee,,,,,,,,,
CC_intake_J,20156046,,Teknologic,1/27/2019,6/14/2019 9:40,7/10/2019 0:00,,,F6AD,60,,,,,,,,"reeployed;end study is the date that Matt pulled data from cloud to use for analysis, receiver still deployed at cvp as of 8/7/19",,,,,,,,,,,,
CC_RGD_1_J,20156033,,Teknologic,1/27/2019,1/28/2019 13:08,5/16/2019 10:00,6/14/2019 11:26,,F6A9,60,,DEAD,,,4.2,2.9,,"initial deployment TT00CA @ 12:08; Final retrieval- got all data, rec died on 5/16",,"deplopuyed by curtis (DWR), cooirds in notebook (and sent by him in email). Deployed on DWR's cable that is attached to the eye bolt in the concrete on the right side of the gates (if looking at gates from the DS side)",eyebolt on DWR cable,,,,,,,,,
CC_RGD_2_J,20156035,,Teknologic,1/27/2019,1/28/2019 13:14,5/21/2019 18:52,6/14/2019 11:45,,,,,DEAD,,,4.24,2.9,,initial deployment TT00CA @ 13:07; final retrieval- got all data rec died on 5/21,,,T post,,,,,,,,,
CC_RGD_3_J,20176050,,Teknologic,1/27/2019,1/28/2019 13:38,5/24/2019 4:35,6/14/2019 10:12,,,,,DEAD,,,4.25,2.9,,"initial deployment TT00CA @ 13:34; final retrieval- got all data, rec died 5/24",,vemco = 545617,AR mooring,,,,,,,,,
CC_RGD_4_J,20176058,,Teknologic,1/27/2019,1/28/2019 13:28,5/26/2019 5:48,6/14/2019 10:01,,,,,DEAD,,,4.26,3,,initial deployment TT00CA @ 13:21; FINAL retrieval- got all data,,vemco = 545619,AR mooring,,,,,,,,,
CC_RGU1_J,20156041,,Teknologic,1/27/2019,1/28/2019 10:52,6/14/2019 11:15,,,F6E6,60,,,,,4.15,,,initial deployment; Mid/end season DL Got all data SYNCED CLOCK,,"RT, data comm = 2016-9008",hanging off gate,,,,,,,,,
CC_RGU1_J,20156041,,Teknologic,1/27/2019,6/14/2019 12:03,6/14/2019 12:03,,,F6E6,60,,,,,,,,"redeployed; ending deployment at the last data download (6/14/19), though receiver is still deployed at cc as of 8/7/19",,,,,,,,,,,,
CC_RGU2_J,20156038,,Teknologic,1/27/2019,1/28/2019 11:19,6/14/2019 11:45,,,F6A8,60,,,,,4.21,,,initial deployment; Mid/end season DL Got all data SYNCED CLOCK,,"RT, data comm = 2016-9011",,,,,,,,,,
CC_RGU2_J,20156038,,Teknologic,1/27/2019,6/14/2019 12:21,6/14/2019 12:21,,,F6A8,60,,,,,,,,"redeployed;ending deployment at the last data download (6/14/19), though receiver is still deployed at cc as of 8/7/19",,,,,,,,,,,,
CVP_Tank1_J,20176072,,Teknologic,,1/17/2019 16:40,5/7/2019 13:30,,,,,,,,,,,,"DL'ed all data up to this point, then formatted card and synced clock, TT 00CA@ ~16:40; DL'ed- got all data",,,,,,,,,,,,
CVP_Tank1_J,20176072,,Teknologic,,5/7/2019 13:30,7/10/2019 0:00,,,,,,,,,,,,"synced clock, rec was never turned off; end study is the date that Matt pulled data from cloud to use for analysis, receiver still in tank",,,,,,,,,,,,
