"","FirstRec","SecondRec","totals"
"1","REL","A1","343"
"2","REL","A2","0"
"3","REL","A3","0"
"4","REL","A4","0"
"5","REL","A5","0"
"6","REL","A6","0"
"7","REL","A7","0"
"8","REL","A8","0"
"9","REL","A9","0"
"10","REL","A10","0"
"11","REL","A11","0"
"12","REL","B1","0"
"13","REL","B2","0"
"14","REL","C1","0"
"15","REL","D1","0"
"16","REL","E1","0"
"17","REL","E2","0"
"18","REL","A12","0"
"19","REL","A13","0"
"20","REL","A14","0"
"21","REL","A15","0"
"22","REL","F1","0"
"23","REL","A16","0"
"24","REL","A17","0"
"25","REL","A18","0"
"26","REL","A19","0"
"27","REL","A20","0"
"28","REL","x","4"
"29","A1","A2","37"
"30","A1","A3","177"
"31","A1","A4","26"
"32","A1","A5","1"
"33","A1","A6","0"
"34","A1","A7","0"
"35","A1","A8","0"
"36","A1","A9","0"
"37","A1","A10","0"
"38","A1","A11","0"
"39","A1","B1","0"
"40","A1","B2","0"
"41","A1","C1","0"
"42","A1","D1","0"
"43","A1","E1","0"
"44","A1","E2","0"
"45","A1","A12","0"
"46","A1","A13","0"
"47","A1","A14","0"
"48","A1","A15","0"
"49","A1","F1","0"
"50","A1","A16","0"
"51","A1","A17","0"
"52","A1","A18","0"
"53","A1","A19","0"
"54","A1","A20","0"
"55","A1","x","102"
"56","A2","A3","28"
"57","A2","A4","5"
"58","A2","A5","0"
"59","A2","A6","0"
"60","A2","A7","0"
"61","A2","A8","0"
"62","A2","A9","0"
"63","A2","A10","0"
"64","A2","A11","0"
"65","A2","B1","0"
"66","A2","B2","0"
"67","A2","C1","0"
"68","A2","D1","0"
"69","A2","E1","0"
"70","A2","E2","0"
"71","A2","A12","0"
"72","A2","A13","0"
"73","A2","A14","0"
"74","A2","A15","0"
"75","A2","F1","0"
"76","A2","A16","0"
"77","A2","A17","0"
"78","A2","A18","0"
"79","A2","A19","0"
"80","A2","A20","0"
"81","A2","x","4"
"82","A3","A4","176"
"83","A3","A5","0"
"84","A3","A6","0"
"85","A3","A7","0"
"86","A3","A8","0"
"87","A3","A9","0"
"88","A3","A10","0"
"89","A3","A11","0"
"90","A3","B1","0"
"91","A3","B2","0"
"92","A3","C1","0"
"93","A3","D1","0"
"94","A3","E1","0"
"95","A3","E2","0"
"96","A3","A12","0"
"97","A3","A13","0"
"98","A3","A14","0"
"99","A3","A15","0"
"100","A3","F1","0"
"101","A3","A16","0"
"102","A3","A17","0"
"103","A3","A18","0"
"104","A3","A19","0"
"105","A3","A20","0"
"106","A3","x","29"
"107","A4","A5","158"
"108","A4","A6","0"
"109","A4","A7","0"
"110","A4","A8","0"
"111","A4","A9","0"
"112","A4","A10","0"
"113","A4","A11","0"
"114","A4","B1","0"
"115","A4","B2","0"
"116","A4","C1","0"
"117","A4","D1","0"
"118","A4","E1","0"
"119","A4","E2","0"
"120","A4","A12","0"
"121","A4","A13","0"
"122","A4","A14","0"
"123","A4","A15","0"
"124","A4","F1","0"
"125","A4","A16","0"
"126","A4","A17","0"
"127","A4","A18","0"
"128","A4","A19","0"
"129","A4","A20","0"
"130","A4","x","49"
"131","A5","A6","140"
"132","A5","A7","1"
"133","A5","A8","1"
"134","A5","A9","0"
"135","A5","A10","0"
"136","A5","A11","0"
"137","A5","B1","0"
"138","A5","B2","0"
"139","A5","C1","0"
"140","A5","D1","0"
"141","A5","E1","0"
"142","A5","E2","0"
"143","A5","A12","0"
"144","A5","A13","0"
"145","A5","A14","0"
"146","A5","A15","0"
"147","A5","F1","0"
"148","A5","A16","0"
"149","A5","A17","0"
"150","A5","A18","0"
"151","A5","A19","0"
"152","A5","A20","0"
"153","A5","x","17"
"154","A6","A7","32"
"155","A6","A8","73"
"156","A6","A9","17"
"157","A6","A10","7"
"158","A6","A11","5"
"159","A6","B1","0"
"160","A6","B2","0"
"161","A6","C1","0"
"162","A6","D1","0"
"163","A6","E1","0"
"164","A6","E2","0"
"165","A6","A12","0"
"166","A6","A13","0"
"167","A6","A14","0"
"168","A6","A15","0"
"169","A6","F1","0"
"170","A6","A16","0"
"171","A6","A17","0"
"172","A6","A18","0"
"173","A6","A19","0"
"174","A6","A20","0"
"175","A6","x","6"
"176","A7","A8","26"
"177","A7","A9","4"
"178","A7","A10","0"
"179","A7","A11","2"
"180","A7","B1","0"
"181","A7","B2","0"
"182","A7","C1","0"
"183","A7","D1","0"
"184","A7","E1","0"
"185","A7","E2","0"
"186","A7","A12","0"
"187","A7","A13","0"
"188","A7","A14","0"
"189","A7","A15","0"
"190","A7","F1","0"
"191","A7","A16","0"
"192","A7","A17","0"
"193","A7","A18","0"
"194","A7","A19","0"
"195","A7","A20","0"
"196","A7","x","1"
"197","A8","A9","73"
"198","A8","A10","14"
"199","A8","A11","13"
"200","A8","B1","0"
"201","A8","B2","0"
"202","A8","C1","0"
"203","A8","D1","0"
"204","A8","E1","0"
"205","A8","E2","0"
"206","A8","A12","0"
"207","A8","A13","0"
"208","A8","A14","0"
"209","A8","A15","0"
"210","A8","F1","0"
"211","A8","A16","0"
"212","A8","A17","0"
"213","A8","A18","0"
"214","A8","A19","0"
"215","A8","A20","0"
"216","A8","x","0"
"217","A9","A10","46"
"218","A9","A11","47"
"219","A9","B1","0"
"220","A9","B2","0"
"221","A9","C1","0"
"222","A9","D1","0"
"223","A9","E1","0"
"224","A9","E2","0"
"225","A9","A12","0"
"226","A9","A13","0"
"227","A9","A14","0"
"228","A9","A15","0"
"229","A9","F1","0"
"230","A9","A16","0"
"231","A9","A17","0"
"232","A9","A18","0"
"233","A9","A19","0"
"234","A9","A20","0"
"235","A9","x","1"
"236","A10","A11","67"
"237","A10","B1","0"
"238","A10","B2","0"
"239","A10","C1","0"
"240","A10","D1","0"
"241","A10","E1","0"
"242","A10","E2","0"
"243","A10","A12","0"
"244","A10","A13","0"
"245","A10","A14","0"
"246","A10","A15","0"
"247","A10","F1","0"
"248","A10","A16","0"
"249","A10","A17","0"
"250","A10","A18","0"
"251","A10","A19","0"
"252","A10","A20","0"
"253","A10","x","0"
"254","A11","B1","47"
"255","A11","B2","0"
"256","A11","C1","1"
"257","A11","D1","0"
"258","A11","E1","6"
"259","A11","E2","0"
"260","A11","A12","73"
"261","A11","A13","6"
"262","A11","A14","0"
"263","A11","A15","0"
"264","A11","F1","0"
"265","A11","A16","0"
