RecSN,DetectDateTime,TagID_Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID
2017-6037,3/28/2019 14:50:25,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018091
2017-6037,3/28/2019 14:50:40,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018113
2017-6037,3/28/2019 14:50:45,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018121
2017-6037,3/28/2019 14:50:55,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018131
2017-6037,3/28/2019 14:51:35,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018165
2017-6037,3/28/2019 14:51:56,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018182
2017-6037,3/28/2019 14:54:17,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018290
2017-6037,3/28/2019 14:54:47,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018325
2017-6037,3/28/2019 14:55:07,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018347
2017-6037,3/28/2019 14:55:37,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018380
2017-6037,3/28/2019 14:55:42,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018387
2017-6037,3/28/2019 14:55:47,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018393
2017-6037,3/28/2019 14:55:52,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018399
2017-6037,3/28/2019 14:55:57,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018403
2017-6037,3/28/2019 14:56:12,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018415
2017-6037,3/28/2019 14:56:17,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018421
2017-6037,3/28/2019 14:56:27,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018432
2017-6037,3/28/2019 14:56:43,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018447
2017-6037,3/28/2019 14:56:48,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018453
2017-6037,3/28/2019 14:56:53,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018460
2017-6037,3/28/2019 14:56:58,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018464
2017-6037,3/28/2019 14:57:03,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018469
2017-6037,3/28/2019 14:57:08,BADC,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.92,80,1018476
