RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID,site.code,array.code,combo,counter,first_or_last
Upstream_Release,2019-02-28T16:58:00Z,BA5B,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.9,78,NA,REL,REL,BA5BREL,1,FALSE
156014,2019-02-28T18:14:46Z,BA5B,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,78,714,A1,A1,BA5BA1,1,TRUE
2017-6032,2019-03-18T15:06:26Z,BA5B,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.9,78,432717,A2,A2,BA5BA2,1,TRUE
20187021,2019-03-19T06:30:11Z,BA5B,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.9,78,469819,A4,A4,BA5BA4,1,TRUE
2017-6005,2019-03-19T13:19:19Z,BA5B,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.9,78,499598,A5,A5,BA5BA5,1,TRUE
156008,2019-03-20T01:19:15Z,BA5B,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.9,78,537944,A6,A6,BA5BA6,1,TRUE
2017-6020,2019-03-20T13:45:12Z,BA5B,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.9,78,558281,A7,A7,BA5BA7,1,TRUE
2015-6001,2019-03-20T14:14:27Z,BA5B,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.9,78,559231,A8,A8,BA5BA8,1,TRUE
2017-6016,2019-03-20T16:50:10Z,BA5B,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.9,78,564174,A9,A9,BA5BA9,1,TRUE
2017-6009,2019-03-20T19:15:02Z,BA5B,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.9,78,568578,A10,A10,BA5BA10,1,TRUE
am18-6006,2019-03-20T20:20:55Z,BA5B,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,4.9,78,569189,A11,A11,BA5BA11,1,TRUE
