RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,Surgeon,ID,site.code,array.code,combo,counter,first_or_last
Upstream_Release,2019-02-28T16:58:00Z,BA5B,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.9,78,NA,NA,REL,REL,BA5BREL,1,FALSE
156014,2019-02-28T18:14:46Z,BA5B,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,78,GS,714,A1,A1,BA5BA1,1,TRUE
2017-6031,2019-02-28T18:17:33Z,BA5B,SJ_Blw_Release_1_J,270.52,270.52,2019UP,NA,37.31,-120.93,4.9,78,GS,1676,A1,A1,BA5BA1,16,FALSE
2017-6032,2019-03-18T15:06:26Z,BA5B,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.9,78,GS,432717,A2,A2,BA5BA2,1,TRUE
2017-6032,2019-03-18T15:13:59Z,BA5B,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.9,78,GS,433378,A2,A2,BA5BA2,31,FALSE
20187021,2019-03-19T06:30:11Z,BA5B,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.9,78,GS,469819,A4,A4,BA5BA4,1,TRUE
2015-6011,2019-03-19T06:59:13Z,BA5B,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,4.9,78,GS,471535,A4,A4,BA5BA4,115,FALSE
2017-6005,2019-03-19T13:19:19Z,BA5B,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.9,78,GS,499598,A5,A5,BA5BA5,1,TRUE
18031,2019-03-19T13:34:58Z,BA5B,SJ_BlwCrowsLanding_2_J,239.9,239.9,2019UP,NA,37.43,-121.01,4.9,78,GS,501002,A5,A5,BA5BA5,89,FALSE
156008,2019-03-20T01:19:15Z,BA5B,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.9,78,GS,537944,A6,A6,BA5BA6,1,TRUE
2017-6030,2019-03-20T01:24:12Z,BA5B,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.9,78,GS,538071,A6,A6,BA5BA6,55,FALSE
2017-6020,2019-03-20T13:45:12Z,BA5B,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.9,78,GS,558281,A7,A7,BA5BA7,1,TRUE
2017-6020,2019-03-20T13:45:47Z,BA5B,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.9,78,GS,558312,A7,A7,BA5BA7,4,FALSE
2015-6001,2019-03-20T14:14:27Z,BA5B,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.9,78,GS,559231,A8,A8,BA5BA8,1,TRUE
2017-6036,2019-03-20T14:17:25Z,BA5B,SJ_Durhamferry_2_J,181.8,181.8,2019UP,NA,37.69,121.27,4.9,78,GS,559342,A8,A8,BA5BA8,21,FALSE
2017-6016,2019-03-20T16:50:10Z,BA5B,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.9,78,GS,564174,A9,A9,BA5BA9,1,TRUE
2017-6016,2019-03-20T16:50:55Z,BA5B,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.9,78,GS,564204,A9,A9,BA5BA9,5,FALSE
2017-6009,2019-03-20T19:15:02Z,BA5B,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.9,78,GS,568578,A10,A10,BA5BA10,1,TRUE
2017-6009,2019-03-20T19:16:43Z,BA5B,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.9,78,GS,568603,A10,A10,BA5BA10,8,FALSE
am18-6006,2019-03-20T20:20:55Z,BA5B,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,4.9,78,GS,569189,A11,A11,BA5BA11,1,TRUE
sm18-7017,2019-03-20T20:30:15Z,BA5B,HOR_SM7,159.42,159.42,2019UP,NA,37.8,-121.32,4.9,78,GS,569462,A11,A11,BA5BA11,116,FALSE
2017-6007,2019-03-20T20:41:32Z,BA5B,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.9,78,GS,569705,A12,A12,BA5BA12,1,TRUE
2015-6004,2019-03-20T20:44:32Z,BA5B,SJ_HOR_2_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.9,78,GS,569755,A12,A12,BA5BA12,17,FALSE
2017-6002,2019-03-20T23:35:35Z,BA5B,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.9,78,GS,574126,A13,A13,BA5BA13,1,TRUE
2017-6002,2019-03-20T23:38:26Z,BA5B,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.9,78,GS,574236,A13,A13,BA5BA13,23,FALSE
2017-6035,2019-03-21T01:51:03Z,BA5B,SJ_SJG_4_J,140.23,140.23,2019UP,NA,37.93,-121.33,4.9,78,GS,576964,A14,A14,BA5BA14,1,TRUE
2017-6035,2019-03-21T01:55:50Z,BA5B,SJ_SJG_4_J,140.23,140.23,2019UP,NA,37.93,-121.33,4.9,78,GS,577064,A14,A14,BA5BA14,15,FALSE
Upstream_Release,2019-02-28T16:58:00Z,BA62,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.5,78,NA,NA,REL,REL,BA62REL,1,FALSE
156014,2019-02-28T19:59:30Z,BA62,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.5,78,GS,9744,A1,A1,BA62A1,1,TRUE
156014,2019-02-28T20:05:14Z,BA62,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.5,78,GS,9904,A1,A1,BA62A1,19,FALSE
2017-6032,2019-04-05T00:53:57Z,BA62,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.5,78,GS,1436115,A2,A2,BA62A2,1,TRUE
2017-6032,2019-04-05T00:56:24Z,BA62,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.5,78,GS,1436188,A2,A2,BA62A2,16,FALSE
2018-6013,2019-04-05T02:13:25Z,BA62,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,4.5,78,GS,1438645,A3,A3,BA62A3,1,TRUE
2018-6013,2019-04-05T02:17:13Z,BA62,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,4.5,78,GS,1438778,A3,A3,BA62A3,12,FALSE
2017-6015,2019-04-05T03:02:15Z,BA62,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,4.5,78,GS,1440522,A4,A4,BA62A4,1,TRUE
2015-6011,2019-04-05T03:06:27Z,BA62,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,4.5,78,GS,1440665,A4,A4,BA62A4,24,FALSE
2017-6005,2019-04-05T09:32:51Z,BA62,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.5,78,GS,1456231,A5,A5,BA62A5,1,TRUE
18031,2019-04-05T09:42:45Z,BA62,SJ_BlwCrowsLanding_2_J,239.9,239.9,2019UP,NA,37.43,-121.01,4.5,78,GS,1456627,A5,A5,BA62A5,50,FALSE
2017-6030,2019-04-05T21:43:44Z,BA62,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.5,78,GS,1487449,A6,A6,BA62A6,1,TRUE
2017-6030,2019-04-05T21:44:59Z,BA62,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.5,78,GS,1487494,A6,A6,BA62A6,6,FALSE
2017-6016,2019-04-06T09:34:29Z,BA62,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.5,78,GS,1516670,A9,A9,BA62A9,1,TRUE
2017-6016,2019-04-06T09:34:49Z,BA62,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.5,78,GS,1516680,A9,A9,BA62A9,5,FALSE
2017-6024,2019-04-06T12:41:01Z,BA62,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.5,78,GS,1523744,A10,A10,BA62A10,1,TRUE
2017-6024,2019-04-06T12:42:02Z,BA62,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.5,78,GS,1523796,A10,A10,BA62A10,3,FALSE
sm18-7023,2019-04-06T13:44:56Z,BA62,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.5,78,GS,1526920,A11,A11,BA62A11,1,TRUE
sm18-7017,2019-04-06T13:51:25Z,BA62,HOR_SM7,159.42,159.42,2019UP,NA,37.8,-121.32,4.5,78,GS,1527336,A11,A11,BA62A11,54,FALSE
2017-6007,2019-04-06T14:00:59Z,BA62,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.5,78,GS,1527787,A12,A12,BA62A12,1,TRUE
2015-6004,2019-04-06T14:03:50Z,BA62,SJ_HOR_2_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.5,78,GS,1527938,A12,A12,BA62A12,18,FALSE
2017-6028,2019-04-06T19:14:12Z,BA62,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.5,78,GS,1540364,A13,A13,BA62A13,1,TRUE
2017-6002,2019-04-06T19:19:15Z,BA62,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.5,78,GS,1540570,A13,A13,BA62A13,29,FALSE
2017-6004,2019-04-06T21:57:12Z,BA62,SJ_SJG_2_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.5,78,GS,1547414,A14,A14,BA62A14,1,TRUE
2017-6035,2019-04-06T22:04:00Z,BA62,SJ_SJG_4_J,140.23,140.23,2019UP,NA,37.93,-121.33,4.5,78,GS,1547901,A14,A14,BA62A14,49,FALSE
2017-6029,2019-04-11T09:45:23Z,BA62,SJ_JP_3_J,93.74,93.74,2019UP,NA,38.05,-121.68,4.5,78,GS,1775831,A16,A16,BA62A16,1,TRUE
2018-6012,2019-04-11T10:15:22Z,BA62,SJ_JP_5_J,93.04,93.04,2019UP,NA,38.05,-121.69,4.5,78,GS,1776926,A16,A16,BA62A16,226,FALSE
15025,2019-04-12T09:38:35Z,BA62,Chipps1.1,71.72,71.72,2019UP,NA,38.04,-121.9,4.5,78,GS,3614610,A17a,A17,BA62A17a,1,TRUE
15025,2019-04-12T09:48:36Z,BA62,Chipps1.1,71.72,71.72,2019UP,NA,38.04,-121.9,4.5,78,GS,3614689,A17a,A17,BA62A17a,80,FALSE
13071,2019-04-12T09:57:20Z,BA62,Chipps2.1,71.24,71.24,2019UP,NA,38.04,-121.91,4.5,78,GS,3614690,A17b,A17,BA62A17b,1,TRUE
13071,2019-04-12T10:06:41Z,BA62,Chipps2.1,71.24,71.24,2019UP,NA,38.04,-121.91,4.5,78,GS,3614768,A17b,A17,BA62A17b,79,FALSE
Upstream_Release,2019-02-28T16:58:00Z,BA64,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.9,79,NA,NA,REL,REL,BA64REL,1,FALSE
156014,2019-02-28T18:14:30Z,BA64,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,79,GS,632,A1,A1,BA64A1,1,TRUE
156014,2019-02-28T18:18:52Z,BA64,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,79,GS,2195,A1,A1,BA64A1,32,FALSE
20187021,2019-03-24T05:50:40Z,BA64,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.9,79,GS,754504,A4,A4,BA64A4,1,TRUE
2015-6011,2019-03-24T06:12:01Z,BA64,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,4.9,79,GS,755637,A4,A4,BA64A4,71,FALSE
