"","FirstRec","SecondRec","totals"
"1","REL","A8","283"
"2","REL","A9","26"
"3","REL","A10","7"
"4","REL","A11","5"
"5","REL","B1","0"
"6","REL","B2","0"
"7","REL","C1","0"
"8","REL","D1","0"
"9","REL","E1","0"
"10","REL","E2","0"
"11","REL","A12","0"
"12","REL","A13","0"
"13","REL","A14","1"
"14","REL","A15","0"
"15","REL","F1","0"
"16","REL","A16","0"
"17","REL","A17","0"
"18","REL","A18","0"
"19","REL","A19","0"
"20","REL","x","32"
"21","A8","A9","178"
"22","A8","A10","38"
"23","A8","A11","32"
"24","A8","B1","0"
"25","A8","B2","0"
"26","A8","C1","0"
"27","A8","D1","0"
"28","A8","E1","0"
"29","A8","E2","0"
"30","A8","A12","0"
"31","A8","A13","0"
"32","A8","A14","0"
"33","A8","A15","0"
"34","A8","F1","0"
"35","A8","A16","0"
"36","A8","A17","0"
"37","A8","A18","0"
"38","A8","A19","0"
"39","A8","x","35"
"40","A9","A10","119"
"41","A9","A11","69"
"42","A9","B1","0"
"43","A9","B2","0"
"44","A9","C1","0"
"45","A9","D1","0"
"46","A9","E1","0"
"47","A9","E2","0"
"48","A9","A12","0"
"49","A9","A13","0"
"50","A9","A14","0"
"51","A9","A15","0"
"52","A9","F1","0"
"53","A9","A16","0"
"54","A9","A17","0"
"55","A9","A18","0"
"56","A9","A19","0"
"57","A9","x","16"
"58","A10","A11","157"
"59","A10","B1","1"
"60","A10","B2","0"
"61","A10","C1","0"
"62","A10","D1","0"
"63","A10","E1","0"
"64","A10","E2","0"
"65","A10","A12","0"
"66","A10","A13","0"
"67","A10","A14","0"
"68","A10","A15","0"
"69","A10","F1","0"
"70","A10","A16","0"
"71","A10","A17","0"
"72","A10","A18","0"
"73","A10","A19","0"
"74","A10","x","6"
"75","A11","B1","120"
"76","A11","B2","3"
"77","A11","C1","0"
"78","A11","D1","0"
"79","A11","E1","8"
"80","A11","E2","1"
"81","A11","A12","122"
"82","A11","A13","6"
"83","A11","A14","0"
"84","A11","A15","0"
"85","A11","F1","0"
"86","A11","A16","0"
"87","A11","A17","0"
"88","A11","A18","0"
"89","A11","A19","0"
"90","A11","x","3"
"91","B1","B2","29"
"92","B1","C1","3"
"93","B1","D1","16"
"94","B1","E1","39"
"95","B1","E2","0"
"96","B1","A12","0"
"97","B1","A13","0"
"98","B1","A14","0"
"99","B1","A15","0"
"100","B1","F1","0"
"101","B1","A16","0"
"102","B1","A17","0"
"103","B1","A18","0"
"104","B1","A19","0"
"105","B1","x","34"
"106","B2","C1","1"
"107","B2","D1","11"
"108","B2","E1","3"
"109","B2","E2","0"
"110","B2","A12","0"
"111","B2","A13","0"
"112","B2","A14","1"
"113","B2","A15","0"
"114","B2","F1","0"
"115","B2","A16","0"
"116","B2","A17","0"
"117","B2","A18","0"
"118","B2","A19","0"
"119","B2","x","16"
"120","C1","D1","1"
"121","C1","E1","0"
"122","C1","E2","0"
"123","C1","A12","0"
"124","C1","A13","0"
"125","C1","A14","0"
"126","C1","A15","0"
"127","C1","F1","0"
"128","C1","A16","0"
"129","C1","A17","0"
"130","C1","A18","0"
"131","C1","A19","0"
"132","C1","x","3"
"133","D1","E1","3"
"134","D1","E2","0"
"135","D1","A12","0"
"136","D1","A13","0"
"137","D1","A14","0"
"138","D1","A15","0"
"139","D1","F1","0"
"140","D1","A16","2"
"141","D1","A17","0"
"142","D1","A18","0"
"143","D1","A19","0"
"144","D1","x","23"
"145","E1","E2","15"
"146","E1","A12","0"
"147","E1","A13","0"
"148","E1","A14","0"
"149","E1","A15","0"
"150","E1","F1","0"
"151","E1","A16","0"
"152","E1","A17","0"
"153","E1","A18","0"
"154","E1","A19","0"
"155","E1","x","38"
"156","E2","A12","0"
"157","E2","A13","0"
"158","E2","A14","1"
"159","E2","A15","0"
"160","E2","F1","0"
"161","E2","A16","0"
"162","E2","A17","2"
"163","E2","A18","0"
"164","E2","A19","0"
"165","E2","x","13"
"166","A12","A13","110"
"167","A12","A14","0"
"168","A12","A15","0"
"169","A12","F1","0"
"170","A12","A16","0"
"171","A12","A17","0"
"172","A12","A18","0"
"173","A12","A19","0"
"174","A12","x","12"
"175","A13","A14","112"
"176","A13","A15","0"
"177","A13","F1","0"
"178","A13","A16","0"
"179","A13","A17","0"
"180","A13","A18","0"
"181","A13","A19","0"
"182","A13","x","4"
"183","A14","A15","52"
"184","A14","F1","9"
"185","A14","A16","1"
"186","A14","A17","2"
"187","A14","A18","0"
"188","A14","A19","0"
"189","A14","x","51"
"190","A15","F1","2"
"191","A15","A16","20"
"192","A15","A17","2"
"193","A15","A18","0"
"194","A15","A19","0"
"195","A15","x","28"
"196","F1","A16","0"
"197","F1","A17","0"
"198","F1","A18","0"
"199","F1","A19","0"
"200","F1","x","11"
"201","A16","A17","15"
"202","A16","A18","0"
"203","A16","A19","0"
"204","A16","x","8"
"205","A17","A18","20"
"206","A17","A19","0"
"207","A17","x","1"
"208","A18","A19","16"
"209","A18","x","4"
"210","A19","x","16"
