"","FirstRec","SecondRec","totals"
"1","REL","A1","343"
"2","REL","A2","0"
"3","REL","A3","0"
"4","REL","A4","0"
"5","REL","A5","0"
"6","REL","A6","0"
"7","REL","A8","0"
"8","REL","A9","0"
"9","REL","A10","0"
"10","REL","A11","0"
"11","REL","B1","0"
"12","REL","B2","0"
"13","REL","C1","0"
"14","REL","D1","0"
"15","REL","E1","0"
"16","REL","E2","0"
"17","REL","A12","0"
"18","REL","A13","0"
"19","REL","A14","0"
"20","REL","A15","0"
"21","REL","F1","0"
"22","REL","A16","0"
"23","REL","A17","0"
"24","REL","A18","0"
"25","REL","A19","0"
"26","REL","x","4"
"27","A1","A2","37"
"28","A1","A3","177"
"29","A1","A4","26"
"30","A1","A5","1"
"31","A1","A6","0"
"32","A1","A8","0"
"33","A1","A9","0"
"34","A1","A10","0"
"35","A1","A11","0"
"36","A1","B1","0"
"37","A1","B2","0"
"38","A1","C1","0"
"39","A1","D1","0"
"40","A1","E1","0"
"41","A1","E2","0"
"42","A1","A12","0"
"43","A1","A13","0"
"44","A1","A14","0"
"45","A1","A15","0"
"46","A1","F1","0"
"47","A1","A16","0"
"48","A1","A17","0"
"49","A1","A18","0"
"50","A1","A19","0"
"51","A1","x","102"
"52","A2","A3","28"
"53","A2","A4","5"
"54","A2","A5","0"
"55","A2","A6","0"
"56","A2","A8","0"
"57","A2","A9","0"
"58","A2","A10","0"
"59","A2","A11","0"
"60","A2","B1","0"
"61","A2","B2","0"
"62","A2","C1","0"
"63","A2","D1","0"
"64","A2","E1","0"
"65","A2","E2","0"
"66","A2","A12","0"
"67","A2","A13","0"
"68","A2","A14","0"
"69","A2","A15","0"
"70","A2","F1","0"
"71","A2","A16","0"
"72","A2","A17","0"
"73","A2","A18","0"
"74","A2","A19","0"
"75","A2","x","4"
"76","A3","A4","176"
"77","A3","A5","0"
"78","A3","A6","0"
"79","A3","A8","0"
"80","A3","A9","0"
"81","A3","A10","0"
"82","A3","A11","0"
"83","A3","B1","0"
"84","A3","B2","0"
"85","A3","C1","0"
"86","A3","D1","0"
"87","A3","E1","0"
"88","A3","E2","0"
"89","A3","A12","0"
"90","A3","A13","0"
"91","A3","A14","0"
"92","A3","A15","0"
"93","A3","F1","0"
"94","A3","A16","0"
"95","A3","A17","0"
"96","A3","A18","0"
"97","A3","A19","0"
"98","A3","x","29"
"99","A4","A5","158"
"100","A4","A6","0"
"101","A4","A8","0"
"102","A4","A9","0"
"103","A4","A10","0"
"104","A4","A11","0"
"105","A4","B1","0"
"106","A4","B2","0"
"107","A4","C1","0"
"108","A4","D1","0"
"109","A4","E1","0"
"110","A4","E2","0"
"111","A4","A12","0"
"112","A4","A13","0"
"113","A4","A14","0"
"114","A4","A15","0"
"115","A4","F1","0"
"116","A4","A16","0"
"117","A4","A17","0"
"118","A4","A18","0"
"119","A4","A19","0"
"120","A4","x","49"
"121","A5","A6","140"
"122","A5","A8","2"
"123","A5","A9","0"
"124","A5","A10","0"
"125","A5","A11","0"
"126","A5","B1","0"
"127","A5","B2","0"
"128","A5","C1","0"
"129","A5","D1","0"
"130","A5","E1","0"
"131","A5","E2","0"
"132","A5","A12","0"
"133","A5","A13","0"
"134","A5","A14","0"
"135","A5","A15","0"
"136","A5","F1","0"
"137","A5","A16","0"
"138","A5","A17","0"
"139","A5","A18","0"
"140","A5","A19","0"
"141","A5","x","17"
"142","A6","A8","98"
"143","A6","A9","21"
"144","A6","A10","7"
"145","A6","A11","7"
"146","A6","B1","0"
"147","A6","B2","0"
"148","A6","C1","0"
"149","A6","D1","0"
"150","A6","E1","0"
"151","A6","E2","0"
"152","A6","A12","0"
"153","A6","A13","0"
"154","A6","A14","0"
"155","A6","A15","0"
"156","A6","F1","0"
"157","A6","A16","0"
"158","A6","A17","0"
"159","A6","A18","0"
"160","A6","A19","0"
"161","A6","x","7"
"162","A8","A9","73"
"163","A8","A10","14"
"164","A8","A11","13"
"165","A8","B1","0"
"166","A8","B2","0"
"167","A8","C1","0"
"168","A8","D1","0"
"169","A8","E1","0"
"170","A8","E2","0"
"171","A8","A12","0"
"172","A8","A13","0"
"173","A8","A14","0"
"174","A8","A15","0"
"175","A8","F1","0"
"176","A8","A16","0"
"177","A8","A17","0"
"178","A8","A18","0"
"179","A8","A19","0"
"180","A8","x","0"
"181","A9","A10","46"
"182","A9","A11","47"
"183","A9","B1","0"
"184","A9","B2","0"
"185","A9","C1","0"
"186","A9","D1","0"
"187","A9","E1","0"
"188","A9","E2","0"
"189","A9","A12","0"
"190","A9","A13","0"
"191","A9","A14","0"
"192","A9","A15","0"
"193","A9","F1","0"
"194","A9","A16","0"
"195","A9","A17","0"
"196","A9","A18","0"
"197","A9","A19","0"
"198","A9","x","1"
"199","A10","A11","67"
"200","A10","B1","0"
"201","A10","B2","0"
"202","A10","C1","0"
"203","A10","D1","0"
"204","A10","E1","0"
"205","A10","E2","0"
"206","A10","A12","0"
"207","A10","A13","0"
"208","A10","A14","0"
"209","A10","A15","0"
"210","A10","F1","0"
"211","A10","A16","0"
"212","A10","A17","0"
"213","A10","A18","0"
"214","A10","A19","0"
"215","A10","x","0"
"216","A11","B1","47"
"217","A11","B2","0"
"218","A11","C1","1"
"219","A11","D1","0"
"220","A11","E1","6"
"221","A11","E2","0"
"222","A11","A12","73"
"223","A11","A13","6"
"224","A11","A14","0"
"225","A11","A15","0"
"226","A11","F1","0"
"227","A11","A16","0"
"228","A11","A17","0"
"229","A11","A18","0"
"230","A11","A19","0"
"231","A11","x","1"
"232","B1","B2","13"
"233","B1","C1","1"
"234","B1","D1","4"
"235","B1","E1","23"
"236","B1","E2","2"
"237","B1","A12","0"
"238","B1","A13","0"
"239","B1","A14","0"
"240","B1","A15","0"
"241","B1","F1","0"
"242","B1","A16","0"
"243","B1","A17","0"
"244","B1","A18","0"
"245","B1","A19","0"
"246","B1","x","4"
"247","B2","C1","0"
"248","B2","D1","3"
"249","B2","E1","1"
"250","B2","E2","0"
"251","B2","A12","0"
"252","B2","A13","0"
"253","B2","A14","0"
"254","B2","A15","0"
"255","B2","F1","0"
"256","B2","A16","0"
"257","B2","A17","0"
"258","B2","A18","0"
"259","B2","A19","0"
"260","B2","x","9"
"261","C1","D1","0"
"262","C1","E1","0"
"263","C1","E2","0"
"264","C1","A12","0"
"265","C1","A13","0"
