,FirstRec,SecondRec,totals
1,REL,A1,343
2,REL,A2,0
3,REL,A3,0
4,REL,A4,0
5,REL,A5,0
6,REL,A6,0
7,REL,A7,0
8,REL,A8,0
9,REL,A9,0
10,REL,A10,0
11,REL,A11,0
12,REL,B1,0
13,REL,A12,0
14,REL,A13,0
15,REL,A14,0
16,REL,A15,0
17,REL,A16,0
18,REL,A17,0
19,REL,x,4
20,A1,A2,37
21,A1,A3,177
22,A1,A4,26
23,A1,A5,1
24,A1,A6,0
25,A1,A7,0
26,A1,A8,0
27,A1,A9,0
28,A1,A10,0
29,A1,A11,0
30,A1,B1,0
31,A1,A12,0
32,A1,A13,0
33,A1,A14,0
34,A1,A15,0
35,A1,A16,0
36,A1,A17,0
37,A1,x,102
38,A2,A3,28
39,A2,A4,5
40,A2,A5,0
41,A2,A6,0
42,A2,A7,0
43,A2,A8,0
44,A2,A9,0
45,A2,A10,0
46,A2,A11,0
47,A2,B1,0
48,A2,A12,0
49,A2,A13,0
50,A2,A14,0
51,A2,A15,0
52,A2,A16,0
53,A2,A17,0
54,A2,x,4
55,A3,A4,176
56,A3,A5,0
57,A3,A6,0
58,A3,A7,0
59,A3,A8,0
60,A3,A9,0
61,A3,A10,0
62,A3,A11,0
63,A3,B1,0
64,A3,A12,0
65,A3,A13,0
66,A3,A14,0
67,A3,A15,0
68,A3,A16,0
69,A3,A17,0
70,A3,x,29
71,A4,A5,158
72,A4,A6,0
73,A4,A7,0
74,A4,A8,0
75,A4,A9,0
76,A4,A10,0
77,A4,A11,0
78,A4,B1,0
79,A4,A12,0
80,A4,A13,0
81,A4,A14,0
82,A4,A15,0
83,A4,A16,0
84,A4,A17,0
85,A4,x,49
86,A5,A6,140
87,A5,A7,1
88,A5,A8,1
89,A5,A9,0
90,A5,A10,0
91,A5,A11,0
92,A5,B1,0
93,A5,A12,0
94,A5,A13,0
95,A5,A14,0
96,A5,A15,0
97,A5,A16,0
98,A5,A17,0
99,A5,x,17
100,A6,A7,32
101,A6,A8,73
102,A6,A9,17
103,A6,A10,7
104,A6,A11,5
105,A6,B1,0
106,A6,A12,0
107,A6,A13,0
108,A6,A14,0
109,A6,A15,0
110,A6,A16,0
111,A6,A17,0
112,A6,x,6
113,A7,A8,26
114,A7,A9,4
115,A7,A10,0
116,A7,A11,2
117,A7,B1,0
118,A7,A12,0
119,A7,A13,0
120,A7,A14,0
121,A7,A15,0
122,A7,A16,0
123,A7,A17,0
124,A7,x,1
125,A8,A9,73
126,A8,A10,14
127,A8,A11,13
128,A8,B1,0
129,A8,A12,0
130,A8,A13,0
131,A8,A14,0
132,A8,A15,0
133,A8,A16,0
134,A8,A17,0
135,A8,x,0
136,A9,A10,46
137,A9,A11,47
138,A9,B1,0
139,A9,A12,0
140,A9,A13,0
141,A9,A14,0
142,A9,A15,0
143,A9,A16,0
144,A9,A17,0
145,A9,x,1
146,A10,A11,67
147,A10,B1,0
148,A10,A12,0
149,A10,A13,0
150,A10,A14,0
151,A10,A15,0
152,A10,A16,0
153,A10,A17,0
154,A10,x,0
155,A11,B1,47
156,A11,A12,73
157,A11,A13,6
158,A11,A14,0
159,A11,A15,0
160,A11,A16,0
161,A11,A17,1
162,A11,x,7
163,B1,A12,0
164,B1,A13,0
165,B1,A14,0
166,B1,A15,0
167,B1,A16,0
168,B1,A17,3
169,B1,x,44
170,A12,A13,72
171,A12,A14,0
172,A12,A15,0
173,A12,A16,0
174,A12,A17,0
175,A12,x,1
176,A13,A14,76
177,A13,A15,0
178,A13,A16,0
179,A13,A17,0
180,A13,x,2
181,A14,A15,43
182,A14,A16,1
183,A14,A17,0
184,A14,x,32
185,A15,A16,19
186,A15,A17,2
187,A15,x,22
188,A16,A17,17
189,A16,x,3
190,A17,x,23
,,,134
