"","x"
"1","BDB6"
"2","BCD2"
"3","C14A"
"4","BA98"
"5","C514"
"6","C550"
"7","BB59"
"8","BD66"
"9","BC96"
"10","BB48"
"11","BBB5"
"12","C8B4"
"13","C548"
"14","C566"
"15","BAED"
"16","C86A"
"17","C5A4"
"18","C2AB"
"19","C66A"
"20","BDEA"
"21","BA65"
"22","BDAD"
"23","BA89"
"24","C526"
"25","C55E"
"26","BD12"
"27","BA6E"
"28","BB6D"
"29","BD5D"
"30","BA90"
"31","C574"
"32","C2A6"
"33","BD9A"
"34","BD68"
"35","BDAC"
"36","BAD8"
"37","C5B6"
"38","BB74"
"39","C536"
"40","C535"
"41","C8D4"
"42","BD14"
"43","CA62"
"44","CACC"
"45","CB56"
"46","BD6B"
"47","BF56"
"48","BD69"
"49","C8AB"
"50","BB24"
"51","BDB4"
"52","BF4A"
"53","BCA2"
"54","C595"
"55","C255"
"56","C5A6"
"57","C4D4"
"58","BA9E"
"59","C15A"
"60","BD62"
"61","BEA9"
"62","BD96"
"63","BDBA"
"64","BDD2"
"65","C6B6"
"66","C8D5"
"67","BDB5"
"68","BBCA"
"69","C6D6"
"70","BADB"
"71","BAD0"
"72","BDA5"
"73","BCDA"
"74","BB45"
"75","BE9A"
"76","C2CA"
"77","C5BA"
"78","BF6A"
"79","C894"
