"","x"
"1","CA62"
"2","BD96"
"3","C5A4"
"4","BAD8"
"5","C4D4"
"6","C55E"
"7","C8B4"
"8","C514"
"9","BDD2"
"10","C536"
"11","BB24"
"12","BCD2"
"13","BD9A"
"14","BDB6"
"15","C14A"
"16","BF56"
"17","BBB5"
"18","BF6A"
"19","BD6B"
"20","BDEA"
"21","BD12"
"22","BB48"
"23","C566"
"24","C2A6"
"25","CACC"
"26","BDB4"
"27","BB74"
"28","BD69"
"29","BA9E"
"30","BBCA"
"31","C86A"
"32","C2AB"
"33","C526"
"34","C8D4"
"35","BEA9"
"36","BDB5"
"37","C548"
"38","BB45"
"39","BA6E"
"40","BB6D"
"41","BE9A"
"42","BB59"
"43","BDAD"
"44","C6D6"
"45","BD14"
"46","BD66"
"47","C8D5"
"48","BC96"
"49","C550"
"50","C8AB"
"51","C894"
"52","C574"
"53","BD62"
"54","BAED"
"55","C255"
"56","C5A6"
"57","BA90"
"58","CB56"
"59","BDA5"
"60","BD68"
"61","BA89"
"62","BA98"
"63","C5BA"
"64","BF4A"
"65","C595"
"66","C2CA"
"67","C5B6"
"68","BDAC"
"69","C15A"
"70","BDBA"
"71","C66A"
"72","BAD0"
"73","C6B6"
"74","BA65"
"75","BADB"
"76","BCDA"
"77","C535"
"78","BCA2"
"79","BD5D"
